"Current","Previous","Estimate","Error"
"Connecticut","New York",20015,4005
"Delaware","New York",3141,1083
"District of Columbia ","New York",2313,697
"Florida","New York",59288,7171
"Georgia","New York",14454,4681
"Hawaii","New York",4246,2556
"Idaho","New York",419,399
"Illinois","New York",6412,1874
"Indiana","New York",2518,816
"Iowa","New York",2361,1104
"Kansas","New York",780,411
"Kentucky","New York",2174,1660
"Louisiana","New York",1360,849
"Maine","New York",2589,1633
"Maryland","New York",9222,2041
"Massachusetts","New York",19431,3914
"Michigan","New York",6087,2170
"Minnesota","New York",2416,913
"Mississippi","New York",364,449
"Missouri","New York",2904,1260
"Montana","New York",422,377
"Nebraska","New York",544,349
"Nevada","New York",1516,819
"New Hampshire","New York",1471,510
"New Jersey","New York",40815,4703
"New Mexico","New York",1445,781
"New York","New York","N/A","N/A"
"North Carolina","New York",18321,3621
"North Dakota","New York",264,233
"Ohio","New York",8784,2659
"Oklahoma","New York",1858,925
"Oregon","New York",2056,850
"Pennsylvania","New York",29436,3921
"Rhode Island","New York",2776,1118
"South Carolina","New York",11317,3991
"South Dakota","New York",6,11
"Tennessee","New York",4921,1493
"Texas","New York",26155,6509
"Utah","New York",1937,1299
"Vermont","New York",3723,904
"Virginia","New York",12455,2816
"Washington","New York",4512,1322
"West Virginia","New York",2017,866
"Wisconsin","New York",2213,835
"Wyoming","New York",113,149
"Puerto Rico","New York",2615,1171
"Alabama","North Carolina",2697,1820
"Alaska","North Carolina",470,404
"Arizona","North Carolina",2548,1269
"Arkansas","North Carolina",1664,1220
"California","North Carolina",8708,2611
"Colorado","North Carolina",4756,1686
"Connecticut","North Carolina",1029,593
"Delaware","North Carolina",388,256
"District of Columbia ","North Carolina",1716,760
"Florida","North Carolina",23983,5251
"Georgia","North Carolina",19138,3931
"Hawaii","North Carolina",2307,1256
"Idaho","North Carolina",263,435
"Illinois","North Carolina",4057,1663
"Indiana","North Carolina",3038,1840
"Iowa","North Carolina",1760,1268
"Kansas","North Carolina",1223,840
"Kentucky","North Carolina",3916,1965
"Louisiana","North Carolina",2134,1242
"Maine","North Carolina",1439,1059
"Maryland","North Carolina",6686,2008
"Massachusetts","North Carolina",3964,1384
"Michigan","North Carolina",3405,1427
"Minnesota","North Carolina",845,520
"Mississippi","North Carolina",483,299
"Missouri","North Carolina",3669,1527
"Montana","North Carolina",1173,982
"Nebraska","North Carolina",829,872
"Nevada","North Carolina",1333,895
"New Hampshire","North Carolina",1297,649
"New Jersey","North Carolina",2482,1416
"New Mexico","North Carolina",522,300
"New York","North Carolina",9336,1874
"North Carolina","North Carolina","N/A","N/A"
"North Dakota","North Carolina",900,678
"Ohio","North Carolina",4572,1270
"Oklahoma","North Carolina",1322,800
"Oregon","North Carolina",1099,740
"Pennsylvania","North Carolina",11254,3103
"Rhode Island","North Carolina",259,212
"South Carolina","North Carolina",23102,4356
"South Dakota","North Carolina",166,257
"Tennessee","North Carolina",9353,2989
"Texas","North Carolina",14956,4396
"Utah","North Carolina",1653,1181
"Vermont","North Carolina",250,193
"Virginia","North Carolina",22753,4584
"Washington","North Carolina",3870,1452
"West Virginia","North Carolina",3865,1241
"Wisconsin","North Carolina",2120,967
"Wyoming","North Carolina",395,457
"Puerto Rico","North Carolina",200,195
"Alabama","North Dakota",284,333
"Alaska","North Dakota",0,149
"Arizona","North Dakota",1159,891
"Arkansas","North Dakota",214,248
"California","North Dakota",1392,898
"Colorado","North Dakota",2249,1245
"Connecticut","North Dakota",0,198
"Delaware","North Dakota",0,192
"District of Columbia ","North Dakota",285,360
"Florida","North Dakota",514,600
"Georgia","North Dakota",201,221
"Hawaii","North Dakota",32,54
"Idaho","North Dakota",1201,1099
"Illinois","North Dakota",105,115
"Indiana","North Dakota",70,94
"Iowa","North Dakota",604,377
"Kansas","North Dakota",379,558
"Kentucky","North Dakota",117,195
"Louisiana","North Dakota",277,359
"Maine","North Dakota",19,31
"Maryland","North Dakota",0,204
"Massachusetts","North Dakota",61,111
"Michigan","North Dakota",159,164
"Minnesota","North Dakota",7574,1390
"Mississippi","North Dakota",0,206
"Missouri","North Dakota",977,446
"Montana","North Dakota",360,250
"Nebraska","North Dakota",292,213
"Nevada","North Dakota",0,234
"New Hampshire","North Dakota",47,79
"New Jersey","North Dakota",61,103
"New Mexico","North Dakota",264,310
"New York","North Dakota",374,266
"North Carolina","North Dakota",189,272
"North Dakota","North Dakota","N/A","N/A"
"Ohio","North Dakota",204,270
"Oklahoma","North Dakota",928,805
"Oregon","North Dakota",313,340
"Pennsylvania","North Dakota",195,208
"Rhode Island","North Dakota",0,207
"South Carolina","North Dakota",271,213
"South Dakota","North Dakota",2060,1025
"Tennessee","North Dakota",50,92
"Texas","North Dakota",809,652
"Utah","North Dakota",2,5
"Vermont","North Dakota",0,145
"Virginia","North Dakota",462,729
"Washington","North Dakota",189,304
"West Virginia","North Dakota",0,184
"Wisconsin","North Dakota",1383,1273
"Wyoming","North Dakota",237,313
"Puerto Rico","North Dakota",0,210
"Alabama","Ohio",2596,958
"Alaska","Ohio",319,286
"Arizona","Ohio",4682,2116
"Arkansas","Ohio",174,176
"California","Ohio",10474,3555
"Colorado","Ohio",5527,2388
"Connecticut","Ohio",1383,791
"Delaware","Ohio",664,608
"District of Columbia ","Ohio",306,224
"Florida","Ohio",18191,3264
"Georgia","Ohio",6863,1986
"Hawaii","Ohio",970,677
"Idaho","Ohio",260,212
"Illinois","Ohio",8384,1627
"Indiana","Ohio",11109,2141
"Iowa","Ohio",993,482
"Kansas","Ohio",1616,901
"Kentucky","Ohio",19617,3115
"Louisiana","Ohio",2641,2281
"Maine","Ohio",483,530
"Maryland","Ohio",3396,1110
"Massachusetts","Ohio",1757,681
"Michigan","Ohio",11224,2069
"Minnesota","Ohio",1961,1059
"Mississippi","Ohio",991,536
"Missouri","Ohio",3240,1684
"Montana","Ohio",321,409
"Nebraska","Ohio",268,250
"Nevada","Ohio",1354,894
"New Hampshire","Ohio",248,223
"New Jersey","Ohio",1121,608
"New Mexico","Ohio",1742,1115
"New York","Ohio",5191,1717
"North Carolina","Ohio",10187,3649
"North Dakota","Ohio",286,248
"Ohio","Ohio","N/A","N/A"
"Oklahoma","Ohio",1608,791
"Oregon","Ohio",949,789
"Pennsylvania","Ohio",13075,2133
"Rhode Island","Ohio",60,89
"South Carolina","Ohio",6327,2177
"South Dakota","Ohio",84,102
"Tennessee","Ohio",5944,2044
"Texas","Ohio",12315,2730
"Utah","Ohio",2584,1124
"Vermont","Ohio",383,485
"Virginia","Ohio",9570,2217
"Washington","Ohio",2686,1217
"West Virginia","Ohio",8545,1913
"Wisconsin","Ohio",1358,628
"Wyoming","Ohio",22,40
"Puerto Rico","Ohio",0,210
"Alabama","Oklahoma",973,840
"Alaska","Oklahoma",616,733
"Arizona","Oklahoma",3219,1761
"Arkansas","Oklahoma",3761,1456
"California","Oklahoma",5113,1763
"Colorado","Oklahoma",3824,2137
"Connecticut","Oklahoma",217,211
"Delaware","Oklahoma",27,45
"District of Columbia ","Oklahoma",0,200
"Florida","Oklahoma",2600,1168
"Georgia","Oklahoma",1632,1107
"Hawaii","Oklahoma",685,502
"Idaho","Oklahoma",288,243
"Illinois","Oklahoma",1002,552
"Indiana","Oklahoma",844,522
"Iowa","Oklahoma",532,417
"Kansas","Oklahoma",5022,1204
"Kentucky","Oklahoma",1256,853
"Louisiana","Oklahoma",4235,3044
"Maine","Oklahoma",25,48
"Maryland","Oklahoma",845,592
"Massachusetts","Oklahoma",90,123
"Michigan","Oklahoma",917,570
"Minnesota","Oklahoma",546,399
"Mississippi","Oklahoma",566,362
"Missouri","Oklahoma",6073,2312
"Montana","Oklahoma",96,127
"Nebraska","Oklahoma",1255,884
"Nevada","Oklahoma",258,254
"New Hampshire","Oklahoma",0,184
"New Jersey","Oklahoma",773,707
"New Mexico","Oklahoma",234,203
"New York","Oklahoma",1425,887
"North Carolina","Oklahoma",1390,684
"North Dakota","Oklahoma",59,68
"Ohio","Oklahoma",2333,1263
"Oklahoma","Oklahoma","N/A","N/A"
"Oregon","Oklahoma",2034,1244
"Pennsylvania","Oklahoma",283,220
"Rhode Island","Oklahoma",0,207
"South Carolina","Oklahoma",1008,934
"South Dakota","Oklahoma",40,46
"Tennessee","Oklahoma",3166,3444
"Texas","Oklahoma",19302,4804
"Utah","Oklahoma",150,218
"Vermont","Oklahoma",0,145
"Virginia","Oklahoma",853,477
"Washington","Oklahoma",765,573
"West Virginia","Oklahoma",97,113
"Wisconsin","Oklahoma",118,119
"Wyoming","Oklahoma",462,555
"Puerto Rico","Oklahoma",79,117
"Alabama","Oregon",169,182
"Alaska","Oregon",2161,841
"Arizona","Oregon",4613,1465
"Arkansas","Oregon",632,587
"California","Oregon",18165,2845
"Colorado","Oregon",5543,2105
"Connecticut","Oregon",117,161
"Delaware","Oregon",0,192
"District of Columbia ","Oregon",51,64
"Florida","Oregon",3315,2046
"Georgia","Oregon",727,472
"Hawaii","Oregon",2030,1378
"Idaho","Oregon",7170,1894
"Illinois","Oregon",792,426
"Indiana","Oregon",505,617
"Iowa","Oregon",811,476
"Kansas","Oregon",285,284
"Kentucky","Oregon",459,328
"Louisiana","Oregon",1531,1577
"Maine","Oregon",471,406
"Maryland","Oregon",276,247
"Massachusetts","Oregon",178,220
"Michigan","Oregon",647,324
"Minnesota","Oregon",1800,1169
"Mississippi","Oregon",74,107
"Missouri","Oregon",777,538
"Montana","Oregon",1959,914
"Nebraska","Oregon",1556,1249
"Nevada","Oregon",1691,695
"New Hampshire","Oregon",198,267
"New Jersey","Oregon",360,331
"New Mexico","Oregon",916,655
"New York","Oregon",2189,977
"North Carolina","Oregon",1175,826
"North Dakota","Oregon",264,256
"Ohio","Oregon",1326,614
"Oklahoma","Oregon",917,713
"Oregon","Oregon","N/A","N/A"
"Pennsylvania","Oregon",1594,1022
"Rhode Island","Oregon",57,94
"South Carolina","Oregon",833,583
"South Dakota","Oregon",15,26
"Tennessee","Oregon",726,610
"Texas","Oregon",3743,1552
"Utah","Oregon",2037,1026
"Vermont","Oregon",124,128
"Virginia","Oregon",3499,1935
"Washington","Oregon",29168,5436
"West Virginia","Oregon",132,203
"Wisconsin","Oregon",1057,680
"Wyoming","Oregon",960,851
"Puerto Rico","Oregon",0,210
"Alabama","Pennsylvania",1075,474
"Alaska","Pennsylvania",378,371
"Arizona","Pennsylvania",3436,1476
"Arkansas","Pennsylvania",567,628
"California","Pennsylvania",8550,2017
"Colorado","Pennsylvania",3348,1302
"Connecticut","Pennsylvania",3668,1639
"Delaware","Pennsylvania",8571,1728
"District of Columbia ","Pennsylvania",1589,757
"Florida","Pennsylvania",20821,4267
"Georgia","Pennsylvania",5791,1896
"Hawaii","Pennsylvania",870,468
"Idaho","Pennsylvania",343,265
"Illinois","Pennsylvania",3012,1197
"Indiana","Pennsylvania",3998,1871
"Iowa","Pennsylvania",388,292
"Kansas","Pennsylvania",1494,1815
"Kentucky","Pennsylvania",1490,598
"Louisiana","Pennsylvania",455,473
"Maine","Pennsylvania",915,418
"Maryland","Pennsylvania",14158,3380
"Massachusetts","Pennsylvania",6538,1883
"Michigan","Pennsylvania",2864,1095
"Minnesota","Pennsylvania",870,509
"Mississippi","Pennsylvania",2568,1700
"Missouri","Pennsylvania",1810,1085
"Montana","Pennsylvania",840,640
"Nebraska","Pennsylvania",252,179
"Nevada","Pennsylvania",570,581
"New Hampshire","Pennsylvania",1015,569
"New Jersey","Pennsylvania",19733,2951
"New Mexico","Pennsylvania",492,284
"New York","Pennsylvania",26596,3427
"North Carolina","Pennsylvania",9450,2770
"North Dakota","Pennsylvania",652,637
"Ohio","Pennsylvania",14292,2842
"Oklahoma","Pennsylvania",1116,492
"Oregon","Pennsylvania",1407,775
"Pennsylvania","Pennsylvania","N/A","N/A"
"Rhode Island","Pennsylvania",1125,725
"South Carolina","Pennsylvania",3523,1139
"South Dakota","Pennsylvania",57,77
"Tennessee","Pennsylvania",3360,1716
"Texas","Pennsylvania",9107,2433
"Utah","Pennsylvania",1496,808
"Vermont","Pennsylvania",389,231
"Virginia","Pennsylvania",12009,2497
"Washington","Pennsylvania",2296,1378
"West Virginia","Pennsylvania",4205,1569
"Wisconsin","Pennsylvania",1294,781
"Wyoming","Pennsylvania",284,254
"Puerto Rico","Pennsylvania",1978,1059
"Alabama","Rhode Island",0,190
"Alaska","Rhode Island",0,149
"Arizona","Rhode Island",72,131
"Arkansas","Rhode Island",0,192
"California","Rhode Island",1103,545
"Colorado","Rhode Island",435,560
"Connecticut","Rhode Island",1488,645
"Delaware","Rhode Island",131,217
"District of Columbia ","Rhode Island",50,63
"Florida","Rhode Island",5002,2668
"Georgia","Rhode Island",337,504
"Hawaii","Rhode Island",58,70
"Idaho","Rhode Island",0,195
"Illinois","Rhode Island",278,266
"Indiana","Rhode Island",49,84
"Iowa","Rhode Island",65,108
"Kansas","Rhode Island",180,261
"Kentucky","Rhode Island",640,876
"Louisiana","Rhode Island",268,395
"Maine","Rhode Island",234,282
"Maryland","Rhode Island",197,162
"Massachusetts","Rhode Island",10182,2144
"Michigan","Rhode Island",385,377
"Minnesota","Rhode Island",0,143
"Mississippi","Rhode Island",41,89
"Missouri","Rhode Island",359,424
"Montana","Rhode Island",0,165
"Nebraska","Rhode Island",0,155
"Nevada","Rhode Island",86,148
"New Hampshire","Rhode Island",608,301
"New Jersey","Rhode Island",463,319
"New Mexico","Rhode Island",0,198
"New York","Rhode Island",1393,663
"North Carolina","Rhode Island",444,384
"North Dakota","Rhode Island",0,143
"Ohio","Rhode Island",369,353
"Oklahoma","Rhode Island",152,179
"Oregon","Rhode Island",0,203
"Pennsylvania","Rhode Island",799,558
"Rhode Island","Rhode Island","N/A","N/A"
"South Carolina","Rhode Island",453,360
"South Dakota","Rhode Island",7,12
"Tennessee","Rhode Island",14,31
"Texas","Rhode Island",1297,1223
"Utah","Rhode Island",0,192
"Vermont","Rhode Island",401,411
"Virginia","Rhode Island",1897,1477
"Washington","Rhode Island",463,319
"West Virginia","Rhode Island",284,344
"Wisconsin","Rhode Island",368,407
"Wyoming","Rhode Island",13,28
"Puerto Rico","Rhode Island",490,718
"Alabama","South Carolina",2036,973
"Alaska","South Carolina",186,182
"Arizona","South Carolina",1774,1932
"Arkansas","South Carolina",235,269
"California","South Carolina",5758,2383
"Colorado","South Carolina",718,480
"Connecticut","South Carolina",997,476
"Delaware","South Carolina",153,179
"District of Columbia ","South Carolina",357,329
"Florida","South Carolina",11953,2956
"Georgia","South Carolina",16914,5257
"Hawaii","South Carolina",1681,919
"Idaho","South Carolina",55,90
"Illinois","South Carolina",1582,783
"Indiana","South Carolina",3306,1917
"Iowa","South Carolina",172,200
"Kansas","South Carolina",1102,670
"Kentucky","South Carolina",1387,814
"Louisiana","South Carolina",1573,1149
"Maine","South Carolina",587,429
"Maryland","South Carolina",2882,1696
"Massachusetts","South Carolina",1621,989
"Michigan","South Carolina",2185,1094
"Minnesota","South Carolina",447,428
"Mississippi","South Carolina",398,320
"Missouri","South Carolina",267,237
"Montana","South Carolina",77,92
"Nebraska","South Carolina",243,285
"Nevada","South Carolina",165,273
"New Hampshire","South Carolina",588,757
"New Jersey","South Carolina",1586,789
"New Mexico","South Carolina",145,204
"New York","South Carolina",6947,2791
"North Carolina","South Carolina",20427,3260
"North Dakota","South Carolina",1,2
"Ohio","South Carolina",3826,1192
"Oklahoma","South Carolina",2015,971
"Oregon","South Carolina",370,292
"Pennsylvania","South Carolina",3438,1057
"Rhode Island","South Carolina",223,232
"South Carolina","South Carolina","N/A","N/A"
"South Dakota","South Carolina",529,706
"Tennessee","South Carolina",5531,1883
"Texas","South Carolina",4075,1969
"Utah","South Carolina",309,259
"Vermont","South Carolina",21,36
"Virginia","South Carolina",6612,2032
"Washington","South Carolina",1519,1267
"West Virginia","South Carolina",1857,1316
"Wisconsin","South Carolina",377,312
"Wyoming","South Carolina",219,307
"Puerto Rico","South Carolina",3,6
"Alabama","South Dakota",90,98
"Alaska","South Dakota",301,343
"Arizona","South Dakota",1657,1589
"Arkansas","South Dakota",0,192
"California","South Dakota",1004,686
"Colorado","South Dakota",1340,1037
"Connecticut","South Dakota",0,198
"Delaware","South Dakota",0,192
"District of Columbia ","South Dakota",104,129
"Florida","South Dakota",716,1027
"Georgia","South Dakota",536,730
"Hawaii","South Dakota",0,187
"Idaho","South Dakota",842,1132
"Illinois","South Dakota",1318,1474
"Indiana","South Dakota",235,231
"Iowa","South Dakota",2842,965
"Kansas","South Dakota",104,147
"Kentucky","South Dakota",0,189
"Louisiana","South Dakota",37,47
"Maine","South Dakota",42,89
"Maryland","South Dakota",0,204
"Massachusetts","South Dakota",44,72
"Michigan","South Dakota",571,599
"Minnesota","South Dakota",5305,1596
"Mississippi","South Dakota",6,15
"Missouri","South Dakota",361,296
"Montana","South Dakota",227,233
"Nebraska","South Dakota",2999,1280
"Nevada","South Dakota",588,557
"New Hampshire","South Dakota",86,102
"New Jersey","South Dakota",0,198
"New Mexico","South Dakota",240,281
"New York","South Dakota",112,121
"North Carolina","South Dakota",565,609
"North Dakota","South Dakota",1293,714
"Ohio","South Dakota",34,68
"Oklahoma","South Dakota",600,379
"Oregon","South Dakota",417,395
"Pennsylvania","South Dakota",142,140
"Rhode Island","South Dakota",0,207
"South Carolina","South Dakota",62,107
"South Dakota","South Dakota","N/A","N/A"
"Tennessee","South Dakota",181,156
"Texas","South Dakota",1486,1045
"Utah","South Dakota",128,146
"Vermont","South Dakota",0,145
"Virginia","South Dakota",908,841
"Washington","South Dakota",227,225
"West Virginia","South Dakota",0,184
"Wisconsin","South Dakota",590,487
"Wyoming","South Dakota",1043,1077
"Puerto Rico","South Dakota",113,139
"Alabama","Tennessee",8710,2300
"Alaska","Tennessee",388,308
"Arizona","Tennessee",1680,647
"Arkansas","Tennessee",6462,2269
"California","Tennessee",8761,2325
"Colorado","Tennessee",3193,1472
"Connecticut","Tennessee",123,141
"Delaware","Tennessee",221,259
"District of Columbia ","Tennessee",421,358
"Florida","Tennessee",10451,4102
"Georgia","Tennessee",16898,3610
"Hawaii","Tennessee",636,1018
"Idaho","Tennessee",296,356
"Illinois","Tennessee",3223,1222
"Indiana","Tennessee",3879,1292
"Iowa","Tennessee",623,529
"Kansas","Tennessee",1066,496
"Kentucky","Tennessee",16852,3762
"Louisiana","Tennessee",2495,938
"Maine","Tennessee",394,513
"Maryland","Tennessee",1942,1093
"Massachusetts","Tennessee",371,355
"Michigan","Tennessee",3106,973
"Minnesota","Tennessee",874,489
"Mississippi","Tennessee",7683,2248
"Missouri","Tennessee",2676,1056
"Montana","Tennessee",266,237
"Nebraska","Tennessee",226,244
"Nevada","Tennessee",96,150
"New Hampshire","Tennessee",126,159
"New Jersey","Tennessee",1412,782
"New Mexico","Tennessee",899,577
"New York","Tennessee",2660,1051
"North Carolina","Tennessee",6057,2083
"North Dakota","Tennessee",113,120
"Ohio","Tennessee",6468,2336
"Oklahoma","Tennessee",1700,1101
"Oregon","Tennessee",673,420
"Pennsylvania","Tennessee",3742,1402
"Rhode Island","Tennessee",210,187
"South Carolina","Tennessee",3324,1252
"South Dakota","Tennessee",0,155
"Tennessee","Tennessee","N/A","N/A"
"Texas","Tennessee",10788,3114
"Utah","Tennessee",549,419
"Vermont","Tennessee",327,498
"Virginia","Tennessee",7482,2452
"Washington","Tennessee",2342,1116
"West Virginia","Tennessee",546,449
"Wisconsin","Tennessee",744,527
"Wyoming","Tennessee",69,66
"Puerto Rico","Tennessee",224,368
"Alabama","Texas",7973,2240
"Alaska","Texas",2492,1105
"Arizona","Texas",12688,2976
"Arkansas","Texas",14767,2746
"California","Texas",37087,5877
"Colorado","Texas",22390,4287
"Connecticut","Texas",1214,646
"Delaware","Texas",883,755
"District of Columbia ","Texas",1083,491
"Florida","Texas",25532,4638
"Georgia","Texas",15760,3421
"Hawaii","Texas",3007,1122
"Idaho","Texas",1303,952
"Illinois","Texas",11011,2803
"Indiana","Texas",6326,2074
"Iowa","Texas",2334,1235
"Kansas","Texas",6575,1436
"Kentucky","Texas",4661,1468
"Louisiana","Texas",30292,5028
"Maine","Texas",1637,1115
"Maryland","Texas",3619,1102
"Massachusetts","Texas",5203,1491
"Michigan","Texas",9935,2208
"Minnesota","Texas",3062,1108
"Mississippi","Texas",5243,1807
"Missouri","Texas",10293,2994
"Montana","Texas",1329,643
"Nebraska","Texas",5343,2737
"Nevada","Texas",7249,3923
"New Hampshire","Texas",605,438
"New Jersey","Texas",3801,1818
"New Mexico","Texas",13633,3724
"New York","Texas",9151,2132
"North Carolina","Texas",6621,2034
"North Dakota","Texas",1862,1029
"Ohio","Texas",11987,4302
"Oklahoma","Texas",31595,4987
"Oregon","Texas",4498,2398
"Pennsylvania","Texas",7006,1441
"Rhode Island","Texas",207,153
"South Carolina","Texas",8623,4005
"South Dakota","Texas",1156,384
"Tennessee","Texas",7009,1999
"Texas","Texas","N/A","N/A"
"Utah","Texas",4507,1517
"Vermont","Texas",185,147
"Virginia","Texas",11655,3004
"Washington","Texas",15491,4361
"West Virginia","Texas",1574,1047
"Wisconsin","Texas",1984,836
"Wyoming","Texas",1398,927
"Puerto Rico","Texas",444,334
"Alabama","Utah",300,390
"Alaska","Utah",662,731
"Arizona","Utah",10577,3336
"Arkansas","Utah",0,192
"California","Utah",8944,2725
"Colorado","Utah",3856,1446
"Connecticut","Utah",398,359
"Delaware","Utah",475,738
"District of Columbia ","Utah",75,118
"Florida","Utah",2343,1891
"Georgia","Utah",793,1061
"Hawaii","Utah",1040,872
"Idaho","Utah",6059,2187
"Illinois","Utah",951,595
"Indiana","Utah",123,127
"Iowa","Utah",1482,940
"Kansas","Utah",196,265
"Kentucky","Utah",140,202
"Louisiana","Utah",179,275
"Maine","Utah",182,202
"Maryland","Utah",223,230
"Massachusetts","Utah",548,411
"Michigan","Utah",642,582
"Minnesota","Utah",919,742
"Mississippi","Utah",332,520
"Missouri","Utah",1697,946
"Montana","Utah",1232,623
"Nebraska","Utah",734,507
"Nevada","Utah",3365,2105
"New Hampshire","Utah",158,271
"New Jersey","Utah",256,229
"New Mexico","Utah",303,218
"New York","Utah",773,482
"North Carolina","Utah",961,692
"North Dakota","Utah",429,427
"Ohio","Utah",691,469
"Oklahoma","Utah",587,450
"Oregon","Utah",3443,1781
"Pennsylvania","Utah",1246,776
"Rhode Island","Utah",181,267
"South Carolina","Utah",181,188
"South Dakota","Utah",560,567
"Tennessee","Utah",200,223
"Texas","Utah",5234,2551
"Utah","Utah","N/A","N/A"
"Vermont","Utah",182,212
"Virginia","Utah",1426,641
"Washington","Utah",4789,1640
"West Virginia","Utah",114,216
"Wisconsin","Utah",890,652
"Wyoming","Utah",2140,1003
"Puerto Rico","Utah",0,210
"Alabama","Vermont",66,108
"Alaska","Vermont",68,105
"Arizona","Vermont",0,229
"Arkansas","Vermont",0,192
"California","Vermont",745,504
"Colorado","Vermont",914,772
"Connecticut","Vermont",608,354
"Delaware","Vermont",0,192
"District of Columbia ","Vermont",445,489
"Florida","Vermont",2019,1616
"Georgia","Vermont",361,334
"Hawaii","Vermont",0,187
"Idaho","Vermont",0,195
"Illinois","Vermont",49,81
"Indiana","Vermont",530,349
"Iowa","Vermont",38,71
"Kansas","Vermont",0,168
"Kentucky","Vermont",151,152
"Louisiana","Vermont",87,149
"Maine","Vermont",612,341
"Maryland","Vermont",40,69
"Massachusetts","Vermont",2246,944
"Michigan","Vermont",0,167
"Minnesota","Vermont",177,161
"Mississippi","Vermont",0,206
"Missouri","Vermont",88,195
"Montana","Vermont",53,71
"Nebraska","Vermont",0,155
"Nevada","Vermont",0,234
"New Hampshire","Vermont",2138,991
"New Jersey","Vermont",0,198
"New Mexico","Vermont",71,120
"New York","Vermont",3882,1242
"North Carolina","Vermont",212,345
"North Dakota","Vermont",0,143
"Ohio","Vermont",68,77
"Oklahoma","Vermont",0,163
"Oregon","Vermont",176,203
"Pennsylvania","Vermont",446,327
"Rhode Island","Vermont",621,328
"South Carolina","Vermont",91,115
"South Dakota","Vermont",0,155
"Tennessee","Vermont",38,64
"Texas","Vermont",349,344
"Utah","Vermont",122,205
"Vermont","Vermont","N/A","N/A"
"Virginia","Vermont",173,138
"Washington","Vermont",119,196
"West Virginia","Vermont",23,33
"Wisconsin","Vermont",342,311
"Wyoming","Vermont",4,8
"Puerto Rico","Vermont",0,210
"Alabama","Virginia",4935,2151
"Alaska","Virginia",1488,1112
"Arizona","Virginia",2233,1094
"Arkansas","Virginia",1245,769
"California","Virginia",15753,2373
"Colorado","Virginia",6281,2671
"Connecticut","Virginia",2555,1053
"Delaware","Virginia",1064,512
"District of Columbia ","Virginia",7975,1285
"Florida","Virginia",16614,3087
"Georgia","Virginia",9438,3336
"Hawaii","Virginia",2523,1318
"Idaho","Virginia",905,707
"Illinois","Virginia",5233,2524
"Indiana","Virginia",1486,853
"Iowa","Virginia",720,854
"Kansas","Virginia",1986,1018
"Kentucky","Virginia",5154,1719
"Louisiana","Virginia",2055,1060
"Maine","Virginia",570,337
"Maryland","Virginia",22089,3805
"Massachusetts","Virginia",2984,1241
"Michigan","Virginia",2327,834
"Minnesota","Virginia",1034,420
"Mississippi","Virginia",1453,805
"Missouri","Virginia",2684,1493
"Montana","Virginia",278,288
"Nebraska","Virginia",615,478
"Nevada","Virginia",1740,1369
"New Hampshire","Virginia",880,575
"New Jersey","Virginia",4458,1750
"New Mexico","Virginia",425,337
"New York","Virginia",10800,2343
"North Carolina","Virginia",27302,4012
"North Dakota","Virginia",166,202
"Ohio","Virginia",5425,2020
"Oklahoma","Virginia",1013,610
"Oregon","Virginia",1179,619
"Pennsylvania","Virginia",8419,1530
"Rhode Island","Virginia",485,448
"South Carolina","Virginia",7879,2193
"South Dakota","Virginia",79,92
"Tennessee","Virginia",6098,1279
"Texas","Virginia",13231,3158
"Utah","Virginia",2413,1459
"Vermont","Virginia",740,420
"Virginia","Virginia","N/A","N/A"
"Washington","Virginia",4233,1698
"West Virginia","Virginia",5561,1534
"Wisconsin","Virginia",2573,1465
"Wyoming","Virginia",451,634
"Puerto Rico","Virginia",1077,1097
"Alabama","Washington",2621,1272
"Alaska","Washington",4548,1520
"Arizona","Washington",13940,5479
"Arkansas","Washington",1477,636
"California","Washington",36481,6266
"Colorado","Washington",5524,2092
"Connecticut","Washington",2255,1469
"Delaware","Washington",482,530
"District of Columbia ","Washington",476,300
"Florida","Washington",6339,2687
"Georgia","Washington",3701,1532
"Hawaii","Washington",3790,1075
"Idaho","Washington",8991,2313
"Illinois","Washington",3075,1254
"Indiana","Washington",1028,744
"Iowa","Washington",856,577
"Kansas","Washington",772,459
"Kentucky","Washington",1121,614
"Louisiana","Washington",1075,504
"Maine","Washington",88,131
"Maryland","Washington",1525,611
"Massachusetts","Washington",1673,741
"Michigan","Washington",1430,669
"Minnesota","Washington",1413,656
"Mississippi","Washington",286,252
"Missouri","Washington",2518,843
"Montana","Washington",3835,1160
"Nebraska","Washington",835,593
"Nevada","Washington",4680,1646
"New Hampshire","Washington",428,497
"New Jersey","Washington",2454,1946
"New Mexico","Washington",924,616
"New York","Washington",2986,1367
"North Carolina","Washington",3295,1566
"North Dakota","Washington",404,312
"Ohio","Washington",1979,965
"Oklahoma","Washington",1246,620
"Oregon","Washington",21862,3732
"Pennsylvania","Washington",3688,1533
"Rhode Island","Washington",262,277
"South Carolina","Washington",2510,1257
"South Dakota","Washington",557,780
"Tennessee","Washington",2852,2746
"Texas","Washington",15325,3090
"Utah","Washington",4825,2196
"Vermont","Washington",156,159
"Virginia","Washington",4615,1717
"Washington","Washington","N/A","N/A"
"West Virginia","Washington",83,137
"Wisconsin","Washington",1555,1071
"Wyoming","Washington",1803,1343
"Puerto Rico","Washington",41,42
"Alabama","West Virginia",65,110
"Alaska","West Virginia",89,75
